Category,Subcategory,Segment,Store,Location,Month,DiscountedSales,TotalSales,DiscountedDistribution,Distribution,Discount Vol,Reg Vol,Total Vol,DiscountedPrice,NonDiscountedPrice,Avg Price,Disc Pric,Reg Price
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,1/31/20,19831593.84,69602142.99,554.468017,2711.229712,2474816,5491215,7966031,8.01,9.06,8.74,8.02,9.06
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,2/29/20,21865892.21,68844482.13,577.4918654,2706.118299,2527341,5143707,7671048,8.65,9.13,8.97,8.65,9.13
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,3/31/20,21568317.86,82161832.91,728.3351197,3455.304343,2568724,7244774,9813497,8.4,8.36,8.37,8.4,8.36
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,4/30/20,21073788.94,95325978.81,394.1451966,2825.32573,2158860,7643347,9802207,9.76,9.71,9.72,9.76,9.71
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,5/31/20,53433455.34,178534469.8,480.2362721,3537.224297,5410540,12433773,17844311,9.88,10.06,10.01,9.88,10.06
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,6/30/20,41194811.59,135211692.6,409.946555,2870.078715,4159415,9578616,13738032,9.9,9.82,9.84,9.91,9.81
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,7/31/20,33416571.18,130854648.1,450.6241699,2861.78283,3635435,10024096,13659532,9.19,9.72,9.58,9.19,9.72
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,8/31/20,32615203.21,129010426.3,638.546652,3599.09333,3561487,10024576,13586062,9.16,9.62,9.5,9.16,9.62
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,9/30/20,27992329.02,96030002.04,540.4028391,2890.382381,3085878,7167338,10253215,9.07,9.49,9.37,9.07,9.49
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,10/31/20,22550193.73,81458754.76,631.1468341,2849.539822,2590114,6165684,8755799,8.71,9.55,9.3,8.71,9.56
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,11/30/20,29489420.41,102578843.2,681.6052097,3654.271382,3072050,7477248,10549299,9.6,9.77,9.72,9.6,9.78
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,12/31/20,46478651.96,131655203.3,657.8710628,3043.827779,4434342,7817167,12251510,10.48,10.9,10.74,10.48,10.9
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,1/31/21,38706481.2,145865519.7,601.4542303,3725.744769,3842401,10228695,14071094,10.07,10.48,10.37,10.07,10.48
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet,2/28/21,31315483.35,113112840.5,612.8774829,2978.009237,3350562,8065415,11415977,9.35,10.14,9.91,9.35,10.14
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,3/31/21,20205118.73,116326015.5,454.1131915,2554.132491,2234688,8637753,10872441,9.04,11.13,10.7,9.04,11.13
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,4/30/21,20027615.18,119504697.5,326.8865287,2547.43783,2002978,8588169,10591146,10,11.58,11.28,10,11.58
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,5/31/21,23565191.69,162785368.9,567.9042739,3192.346514,2439586,11300572,13740156,9.66,12.32,11.85,9.66,12.32
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,6/30/21,19375639.32,126718743.5,314.4694032,2486.475519,1788760,8689114,10477873,10.83,12.35,12.09,10.83,12.36
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,7/31/21,16016755.53,120744303.1,442.8211631,2434.136957,1677657,8282493,9960151,9.55,12.64,12.12,9.55,12.64
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,8/31/21,9735168.594,133744303.9,329.6638256,2863.827918,1097280,9644454,10741735,8.87,12.86,12.45,8.87,12.86
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,9/30/21,11617300.42,97990292.48,298.8072049,2287.916229,1136035,6669793,7805828,10.23,12.95,12.55,10.23,12.95
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,10/31/21,10803553.1,104390943.3,397.5305877,2833.343782,1132954,7236352,8369306,9.54,12.93,12.47,9.54,12.93
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,11/30/21,11025303.14,94712849.77,292.6796765,2377.407131,899248,5803504,6702752,12.26,14.42,14.13,12.26,14.42
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,12/31/21,30753672.57,166349587.9,333.0930968,2446.749978,2453521,8300776,10754294,12.53,16.34,15.47,12.53,16.33
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,1/31/22,19847215.23,148521937.5,324.0461956,3007.189561,1751323,9181579,10932900,11.33,14.01,13.58,11.33,14.01
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,2/28/22,17592889.64,94361377.96,307.8630291,2360.475976,1401228,5964305,7365533,12.56,12.87,12.81,12.56,12.87
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,3/31/22,18348243.67,79895257.28,459.2982231,2281.681428,1886027,5438818,7324846,9.73,11.32,10.91,9.73,11.32
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,4/30/22,20132480.07,76874799.02,447.6553003,2331.316976,1718534,4989979,6708512,11.71,11.37,11.46,11.71,11.37
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,5/31/22,36206238.11,104082739.5,558.3751162,2891.205106,2645240,5734431,8379671,13.69,11.84,12.42,13.69,11.84
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,6/30/22,38630307.9,87926735.91,551.6667162,2322.091352,2819147,4362709,7181856,13.7,11.3,12.24,13.7,11.3
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,7/31/22,58015468.21,121035916,648.0864598,2945.163701,4428172,5690903,10119074,13.1,11.07,11.96,13.1,11.08
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,8/31/22,44210192.76,95256991.46,608.4104701,2318.378374,3658355,4793169,8451524,12.08,10.65,11.27,12.08,10.65
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,9/30/22,37159598.2,87773263.32,658.901931,2321.25598,3368656,4733471,8102127,11.03,10.69,10.83,11.03,10.69
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,10/31/22,46605557,105581881.6,851.1386067,2892.309095,4291368,5446108,9737475,10.86,10.83,10.84,10.86,10.83
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,11/30/22,28579253.73,85464663.68,624.3800674,2413.934203,2352208,4847715,7199922,12.15,11.73,11.87,12.15,11.73
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,12/31/22,54565726.82,144463892.1,637.0921486,2482.281863,4440147,6826091,11266238,12.29,13.17,12.82,12.29,13.17
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,1/31/23,59988447.02,142060007.9,791.6495118,3065.795955,5429450,7300588,12730036,11.05,11.24,11.16,11.05,11.24
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,2/28/23,66239847.7,118189468.8,634.2405884,2472.186679,8424822,6074094,14498915,7.86,8.55,8.15,7.86,8.55
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,3/31/23,38551688.4,87226989.95,764.2100542,2429.388579,4053333,5320575,9373907,9.51,9.15,9.31,9.51,9.15
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,4/30/23,47234285.01,100925462.4,763.1840219,2990.068148,4856451,5884260,10740710,9.73,9.12,9.4,9.73,9.12
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,5/31/23,48616852.78,96019385.42,468.3402722,2447.836941,5181473,5091680,10273154,9.38,9.31,9.34,9.38,9.31
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,6/30/23,38064602.39,89741232.46,482.9358038,2461.893935,4088730,5731132,9819863,9.31,9.02,9.14,9.31,9.02
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,7/31/23,55380910.11,121576078.9,473.5951162,3016.490642,6460228,7796636,14256866,8.57,8.49,8.53,8.57,8.49
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,8/31/23,29918047.59,81954963.88,369.5969981,2365.727729,3255597,6027686,9283283,9.19,8.63,8.83,9.19,8.63
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,9/30/23,35028305.28,83117867.05,468.5293998,2354.9791,4146940,5672475,9819413,8.45,8.48,8.47,8.45,8.48
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,10/31/23,32539845.29,89518617.64,784.2161831,2920.555324,4210925,6767783,10978708,7.73,8.42,8.16,7.73,8.42
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,11/30/23,28456312.99,80490408.13,647.2759671,2389.405867,3528567,5836313,9364881,8.06,8.92,8.6,8.06,8.92
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,12/31/23,68369865.61,172557201.9,939.6852542,3106.356046,7733050,10491709,18224758,8.84,9.93,9.47,8.84,9.93
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,1/31/24,25232171.75,82641042.38,504.6275768,2422.435784,3237452,6766725,10004177,7.79,8.48,8.26,7.8,8.49
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,2/29/24,34309676.18,93837955.78,520.8238424,2467.8759,4224988,6999577,11224565,8.12,8.5,8.36,8.12,8.51
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,3/31/24,33803990.91,98033289.6,606.4179745,2987.422515,4034330,7651620,11685950,8.38,8.39,8.39,8.38,8.39
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,4/30/24,21627964.61,69905212.7,474.3139709,2412.161792,2772284,5850709,8622994,7.8,8.25,8.1,7.8,8.25
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,5/31/24,33590888.51,86272113.24,535.7718515,2534.70741,4311636,6282356,10593992,7.79,8.39,8.14,7.79,8.39
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,6/30/24,37802657.65,106116215.6,666.3047238,3169.538916,4699430,8125321,12824752,8.04,8.41,8.27,8.04,8.41
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,7/31/24,24870804.73,82926877.58,421.1531146,2509.505137,2968907,6860817,9829725,8.38,8.46,8.44,8.38,8.46
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,8/31/24,20772068.45,76617605.13,375.6381901,2501.625302,2295841,6465235,8761074,9.05,8.64,8.75,9.05,8.64
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,9/30/24,33064931.86,97100380.94,578.6318996,3033.581431,4215848,7674451,11890299,7.84,8.34,8.17,7.84,8.35
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,10/31/24,18567453.78,66473423.86,707.970709,2400.232444,2506806,5608803,8115609,7.41,8.54,8.19,7.41,8.54
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,11/30/24,24789645.32,75689466.81,572.7161983,2468.944573,3151021,5845587,8996608,7.87,8.71,8.41,7.87,8.71
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,12/31/24,48667516.23,155465888.1,791.6033453,3208.088583,5248624,9775157,15023779,9.27,10.93,10.35,9.27,10.92
SEAFOOD,FRESH SHELLFISH,FRESH CRAB,(country),Total US - Multi Outlet+,1/31/25,17191294.25,65596563.65,390.4103332,1851.727188,2208817,5061205,7270021,7.78,9.56,9.02,7.78,9.57
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,3200979,,,,,,,,,,
,,,,,,,0.17563904,,,,,,,,,,